"","x"
"(Intercept)",-0.528910296454235
"dist_km",4.84711943174105
"Min.Temp",-0.0218699972481313
"Temperature",0.0289943416979014
"WindSpeed",-0.00235905021608124
"rain",-0.268245294009378
"snow",0.429447166865007
"hour_fac1",0.116148366536047
"hour_fac2",0.507741810289256
"hour_fac3",-0.175488519144383
"hour_fac4",-0.269235030851758
"hour_fac5",-1.18707001768567
"hour_fac6",-0.794770495992147
"hour_fac7",-0.18216316443489
"hour_fac8",0.329293772298709
"hour_fac9",0.622495763400066
"hour_fac10",1.04064972484811
"hour_fac11",1.25607881645852
"hour_fac12",1.46045520970589
"hour_fac13",1.20239519856958
"hour_fac14",1.31266520034211
"hour_fac15",1.04275406568855
"hour_fac16",0.929898996461758
"hour_fac17",1.17287752562151
"hour_fac18",1.3046510543815
"hour_fac19",1.19975424804209
"hour_fac20",1.21859757379409
"hour_fac21",1.11612669046364
"hour_fac22",0.881132183886333
"hour_fac23",0.577456646672062
"month_fac2",0.00672332790456166
"month_fac3",0.176046664222576
"month_fac4",0.552467868123696
"month_fac5",0.767517759874788
"month_fac6",0.548623151643993
"month_fac7",0.621891151419301
"month_fac8",0.525888585064436
"month_fac9",0.528160106212233
"month_fac10",0.473035857186164
"month_fac11",0.477416121138608
"month_fac12",0.296629513065595
"weekday",0.0411644003955933
"start_dc_ind",0.840439746721865
"end_dc_ind",-0.0586635424763913
